"Title";"Manufacturer";"Model";"Primary hostaddress";"Primary hostname";"Location path";"CMDB status"
"10.2.4.143";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.143";"";"-";"in operation"
"10.2.4.43";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.43";"";"-";"in operation"
"rz1-esx-21.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.21";"rz1-esx-21";"-";"in operation"
"rz1-esx-22.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.22";"rz1-esx-22";"-";"in operation"
"rz1-esx-25.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.25";"rz1-esx-25";"-";"in operation"
"rz1-esx-26.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.26";"rz1-esx-26";"-";"in operation"
"RZ1-ESX-27";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.27";"";"-";"in operation"
"RZ1-ESX-28";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.28";"";"-";"in operation"
"RZ1-ESX-29";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.29";"";"-";"in operation"
"rz1-esx-30.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.30";"rz1-esx-30";"-";"in operation"
"RZ1-ESX-31";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.31";"";"-";"in operation"
"RZ1-ESX-32";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.32";"";"-";"in operation"
"RZ1-ESX-33";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.33";"";"-";"in operation"
"RZ1-ESX-34";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.34";"";"-";"in operation"
"RZ1-ESX-35";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.35";"";"-";"in operation"
"RZ1-ESX-36";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.36";"";"-";"in operation"
"RZ1-ESX-37";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.37";"";"-";"in operation"
"RZ1-ESX-38";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.38";"";"-";"in operation"
"RZ1-ESX-39";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.39";"";"-";"in operation"
"RZ1-ESX-40";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.40";"";"-";"in operation"
"RZ1-ESX-41";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.41";"";"-";"in operation"
"RZ1-ESX-46";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.46";"";"-";"in operation"
"RZ1-ESX-47";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.47";"";"-";"in operation"
"RZ1-ESX-48";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.48";"";"-";"in operation"
"RZ1-ESX-50";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.50";"";"-";"in operation"
"RZ1-ESX-51.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.51";"RZ1-ESX-51";"-";"in operation"
"rz1-esx-56";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.56";"";"-";"in operation"
"RZ1-ESX-59";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.59";"";"-";"in operation"
"rz2-esx-21.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.121";"rz2-esx-21";"-";"in operation"
"rz2-esx-22.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.122";"rz2-esx-22";"-";"in operation"
"rz2-esx-24.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.124";"rz2-esx-24";"-";"in operation"
"rz2-esx-24.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.124";"rz2-esx-24";"-";"in operation"
"rz2-esx-25.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.125";"rz2-esx-25";"-";"in operation"
"rz2-esx-26.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.126";"rz2-esx-26";"-";"in operation"
"RZ2-ESX-27";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.127";"";"-";"in operation"
"RZ2-ESX-28";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.128";"";"-";"in operation"
"RZ2-ESX-29";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.129";"";"-";"in operation"
"rz2-esx-30.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.130";"rz2-esx-30";"-";"in operation"
"RZ2-ESX-31";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.131";"";"-";"in operation"
"rz2-esx-32.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.132";"rz2-esx-32";"-";"in operation"
"RZ2-ESX-33";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.133";"";"-";"in operation"
"rz2-esx-34.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.134";"rz2-esx-34";"-";"in operation"
"RZ2-ESX-35";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.135";"";"-";"in operation"
"RZ2-ESX-36";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.136";"";"-";"in operation"
"RZ2-ESX-37";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.137";"";"-";"in operation"
"RZ2-ESX-38";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.138";"";"-";"in operation"
"RZ2-ESX-39";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.139";"";"-";"in operation"
"RZ2-ESX-40";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.140";"";"-";"in operation"
"RZ2-ESX-41";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.141";"";"-";"in operation"
"RZ2-ESX-46";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.146";"";"-";"in operation"
"RZ2-ESX-47";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.147";"";"-";"in operation"
"RZ2-ESX-48";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.148";"";"-";"in operation"
"RZ2-ESX-50";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.150";"";"-";"in operation"
"rz2-esx-51.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.151";"rz2-esx-51";"-";"in operation"
"RZ2-ESX-56.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.156";"RZ2-ESX-56";"-";"in operation"
"RZ2-ESX-56.bev.int";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.156";"RZ2-ESX-56";"-";"in operation"
"RZ2-ESX-59";"Hewlett Packard Enterprise";"Synergy 480 Gen10";"10.2.4.159";"";"-";"in operation"
