Server;Share
RZV-BEA-01;CitrixThinApp$
RZV-BEA-01;Citrix_Profiles$
RZV-BEA-01;CTS_Profiles$
RZV-BEA-02;Bildungskreis_E_2022$
RZV-BEA-02;E122$
RZV-BEA-02;GrpEMoodle$
RZV-BEA-02;Eichwesen$
RZV-BEA-02;Messplatz$
RZV-BEA-02;Eichwesen_2$
RZV-BEA-02;grpemoodle_video$
RZV-BEA-03;CIM$
RZV-BEA-03;AbtP5$
RZV-BEA-03;ExchangeAntiMalwareEngines$
RZV-BEA-03;Clientprojekt$
RZV-BEA-03;RSATokenservice$
RZV-BEA-03;AbtP4$
RZV-BEA-03;I44_Endfertigung$
RZV-BEA-03;AbtP1$
RZV-BEA-03;AbtP2$
RZV-BEA-03;AbtR21$
RZV-BEA-03;AbtR22$
RZV-BEA-03;AbtR23$
RZV-BEA-03;AbtR24$
RZV-BEA-03;AbtP3$
RZV-BEA-03;Arbeitssicherheit$
RZV-BEA-03;Ausbildung$
RZV-BEA-03;DA$
RZV-BEA-03;Datenschutz$
RZV-BEA-03;ELAK$
RZV-BEA-03;FA$
RZV-BEA-03;FA-Info$
RZV-BEA-03;Kassabuch$
RZV-BEA-03;LBEV$
RZV-BEA-03;PM_SAP-Berichte$
RZV-BEA-03;PMO$
RZV-BEA-03;Praesidium$
RZV-BEA-03;Security$
RZV-BEA-03;VBK$
RZV-BEA-03;R3_FacilityManagement$
RZV-BEA-03;ECO$
RZV-BEA-03;MD-Vhw-Hist$
RZV-BEA-03;VHW-HIST$
RZV-BEA-03;VhwHIST_BHV$
RZV-BEA-03;VhwHIST_Daten$
RZV-BEA-03;VhwHIST_Daten_DKA$
RZV-BEA-03;TU_VhwHIST_BHV$
RZV-BEA-03;TU_VhwHIST_Daten$
RZV-BEA-03;TU_VhwHIST_Daten_DKA$
RZV-BEA-03;Install_DATAMGMT$
RZV-BEA-03;Install$
RZV-BEA-04;AbtG4$
RZV-BEA-04;Projekte_V4$
RZV-BEA-04;Produkte_V4$
RZV-BEA-04;Kartographische_Modelle$
RZV-BEA-04;Produkte_V$
RZV-BEA-04;Produkte_V2$
RZV-BEA-04;AbtG6$
RZV-BEA-04;QMData$
RZV-BEA-04;AbtG7$
RZV-BEA-04;MAP$
RZV-BEA-04;AbtG1$
RZV-BEA-04;GGOS_CO$
RZV-BEA-04;Rinex$
RZV-BEA-04;V1_Archiv$
RZV-BEA-04;AbtG2$
RZV-BEA-04;AbtG3$
RZV-BEA-04;eTOD$
RZV-BEA-04;GruppeG$
RZV-BEA-04;LV3$
RZV-BEA-04;Adressregister$
RZV-BEA-04;GDB_KFS_Reports$
RZV-BEA-04;GDB1$
RZV-BEA-04;GDB2$
RZV-BEA-04;GDB-neu$
RZV-BEA-04;AbtG5$
RZV-BEA-04;SAK_Projekt$
RZV-BEA-04;V5_Produktion1$
RZV-BEA-04;D001-V5-4-M31
RZV-BEA-04;V5_Produktion2$
RZV-BEA-04;SAK_Daten$
RZV-BEA-04;ArchivScan$
RZV-BEA-05;BEV_Urmappe$
RZV-BEA-05;I4_Luftbild$
RZV-BEA-05;AbtA2$
RZV-BEA-05;Arbeitskopien$
RZV-BEA-05;Archiv_MDB$
RZV-BEA-05;Abteilungsvorlagen$
RZV-BEA-05;AbtI2_rm$
RZV-BEA-05;AbtV1$
RZV-BEA-05;Anwendungen_Eichaemter$
RZV-BEA-05;ESB$
RZV-BEA-05;GruppeK$
RZV-BEA-05;GruppeM$
RZV-BEA-05;KFS_Controllingdaten$
RZV-BEA-05;PuKo$
RZV-BEA-05;V600-00-0-SVR_rm$
RZV-BEA-05;V580-00-0-SVR_rm$
RZV-BEA-05;V570-00-0-SVR_rm$
RZV-BEA-05;V560-00-0-SVR_rm$
RZV-BEA-05;V550-00-0-SVR_rm$
RZV-BEA-05;V510-00-0-SVR_rm$
RZV-BEA-05;V500-00-0-SVR_rm$
RZV-BEA-05;V610-00-0-SVR_rm$
RZV-BEA-05;V490-00-0-SVR_rm$
RZV-BEA-05;V460-00-0-SVR_rm$
RZV-BEA-05;V450-00-0-SVR_rm$
RZV-BEA-05;V420-00-0-SVR_rm$
RZV-BEA-05;V410-00-0-SVR_rm$
RZV-BEA-05;V400-00-0-SVR_rm$
RZV-BEA-05;V340-00-0-SVR_rm$
RZV-BEA-05;V330-00-0-SVR_rm$
RZV-BEA-05;V470-00-0-SVR_rm$
RZV-BEA-05;V320-00-0-SVR_rm$
RZV-BEA-05;V620-00-0-SVR_rm$
RZV-BEA-05;V640-00-0-SVR_rm$
RZV-BEA-05;V870-00-0-SVR_rm$
RZV-BEA-05;V860-00-0-SVR_rm$
RZV-BEA-05;V850-00-0-SVR_rm$
RZV-BEA-05;V830-00-0-SVR_rm$
RZV-BEA-05;V820-00-0-SVR_rm$
RZV-BEA-05;V810-00-0-SVR_rm$
RZV-BEA-05;V800-I3-T-SVR_rm$
RZV-BEA-05;V630-00-0-SVR_rm$
RZV-BEA-05;V800-00-0-SVR_rm$
RZV-BEA-05;V750-00-0-SVR_rm$
RZV-BEA-05;V730-00-0-SVR_rm$
RZV-BEA-05;V720-00-0-SVR_rm$
RZV-BEA-05;V680-00-0-SVR_rm$
RZV-BEA-05;V670-00-0-SVR_rm$
RZV-BEA-05;V660-00-0-SVR_rm$
RZV-BEA-05;V650-00-0-SVR_rm$
RZV-BEA-05;V760-00-0-SVR_rm$
RZV-BEA-05;V900-00-0-SVR_rm$
RZV-BEA-05;V310-00-0-SVR_rm$
RZV-BEA-05;V240-00-0-SVR_rm$
RZV-BEA-05;Stichtag$
RZV-BEA-05;AbtA1$
RZV-BEA-05;AbtA1_Daten_1$
RZV-BEA-05;AbtA1_Daten_2$
RZV-BEA-05;UMvEGA$
RZV-BEA-05;Schaetzungsbuecher$
RZV-BEA-05;Office$
RZV-BEA-06;Archiv_ALS$
RZV-BEA-06;Archiv_BEV$
RZV-BEA-06;Archiv_DKA$
RZV-BEA-06;Archiv_DSM$
RZV-BEA-06;Archiv_Exchange$
RZV-BEA-06;Archiv_Fotodatenbank$
RZV-BEA-06;Archiv_I2$
RZV-BEA-06;Archiv_I3$
RZV-BEA-06;Archiv_STP$
RZV-BEA-06;Archiv_Kataster_Transkribus$
RZV-BEA-06;Archiv_Landcover$
RZV-BEA-06;Archiv_Luftbilder$
RZV-BEA-06;Archiv_Orthophotos$
RZV-BEA-06;Archiv_SAK$
RZV-BEA-06;Archiv_Stichtagsdaten$
RZV-BEA-06;Archiv_Ueberformat$
RZV-BEA-06;Archiv_Urmappe$
RZV-BEA-06;Archiv_V4$
RZV-BEA-06;Archiv_V5_Luftbilder$
RZV-BEA-07;Abgabe$
RZV-BEA-07;ALS$
RZV-BEA-07;BEV_DLB$
RZV-BEA-07;BEV_DOP$
RZV-BEA-07;DLB$
RZV-BEA-07;DLB5
RZV-BEA-07;DOPV2$
RZV-BEA-07;ECOG$
RZV-BEA-07;ECOG2$
RZV-BEA-07;ECOG3$
RZV-BEA-07;ERG$
RZV-BEA-07;Geodatencloud$
RZV-BEA-07;PRC$
RZV-BEA-07;Projektdaten$
RZV-BEA-08;BSD_Upgrade$
RZV-BEA-08;DHCP_Backup$
RZV-BEA-08;ELA$
RZV-BEA-08;GDB$
RZV-BEA-08;GDB_Migration$
RZV-BEA-08;GDV_Digital
RZV-BEA-08;IGEL_Update$
RZV-BEA-08;IGEL_Update2$
RZV-BEA-08;IGEL_Update3$
RZV-BEA-08;InetPub$
RZV-BEA-08;Inspire$
RZV-BEA-08;Jobs$
RZV-BEA-08;Logs$
RZV-BEA-08;_Schedule_Tasks$
RZV-BEA-08;Tools$
RZV-BEA-08;Transportation_1$
RZV-BEA-08;V1ProdSich$
RZV-BEA-08;Portal_Archiv$
RZV-BEA-08;Transfer
RZV-BEA-08;Festpunkt_Daten$
RZV-BEA-08;Adressen
RZV-BEA-08;Anwendungen_Eichamt$
RZV-BEA-08;Anwendungen_Kataster$
RZV-BEA-08;Budget$
RZV-BEA-08;CitrixDeploy$
RZV-BEA-08;IR-Prüfungen$
RZV-BEA-08;NavisionDB$
RZV-BEA-08;OVG
RZV-BEA-08;ThinApp$
RZV-BEA-08;ThinAppCaptures$
RZV-BEA-08;TSPolicies$
RZV-BEA-08;W2K3Server
RZV-BEA-08;Xicrypt_Daten$
RZV-BEA-08;Zulassungen
RZV-BEA-08;ProjectEGA$
RZV-BEA-08;Stichtagsdaten$
RZV-BEA-08;BildflugMetaDaten$
RZV-BEA-08;DOP$
RZV-BEA-08;ZwischenServerEGA$
RZV-BEA-08;PU_PDFA_Convert_IN$
RZV-BEA-08;PU_PDFA_Convert_OUT$
RZV-BEA-08;TU_PDFA_Convert_IN$
RZV-BEA-08;TU_PDFA_Convert_OUT$
RZV-BEA-08;TU_Sig_Create_IN$
RZV-BEA-08;TU_Sig_Create_OUT$
RZV-BEA-08;TuxiServices$
RZV-BEA-08;Xicrypt$
RZV-BEA-08;XiServices$
RZV-BEA-08;BEVSchulung
RZV-BEA-08;EGATEST$
RZV-BEA-08;IMS$
RZV-BEA-08;SAP$
RZV-BEA-08;FME$
RZV-BEA-08;Gruppe_A_Container
RZV-BEA-08;Gruppe_A_LOWEND$
RZV-BEA-08;Gruppe_E_LOWEND$
RZV-BEA-08;Bereich_I_LOWEND$
RZV-BEA-08;Gruppe_V_LOWEND$
RZV-BEA-08;V3_ArcGis_Temp$
RZV-BEA-08;AMAP_Online$
RZV-BEA-08;ArcGIS$
RZV-BEA-08;Audit2022$
RZV-BEA-08;BEV_C20$
RZV-BEA-08;BEVI1ZK$
RZV-BEA-08;CIO$
RZV-BEA-08;Daten_I4_Kunden$
RZV-BEA-08;Dezentralisierung$
RZV-BEA-08;Diensthandy$
RZV-BEA-08;DigiTrans$
RZV-BEA-08;DOP20GS$
RZV-BEA-08;EGA_Zerts$
RZV-BEA-08;ESM$
RZV-BEA-08;Fachteam_Kataster$
RZV-BEA-08;FE-Ausschreibung$
RZV-BEA-08;Festschrift100J$
RZV-BEA-08;GeoGIP$
RZV-BEA-08;GEOPortal$
RZV-BEA-08;GMA_13_Datenaustausch$
RZV-BEA-08;GMA_20_Datenaustausch$
RZV-BEA-08;GruPu$
RZV-BEA-08;histMAP$
RZV-BEA-08;INSPIRE_I3$
RZV-BEA-08;IT2025$
RZV-BEA-08;LSS_Archiv$
RZV-BEA-08;Mediendokumentation$
RZV-BEA-08;Projekt_FPF$
RZV-BEA-08;Projekt_MÜW$
RZV-BEA-08;Projekte_I3_R3$
RZV-BEA-08;PSI$
RZV-BEA-08;Punktwolke$
RZV-BEA-08;R2_Dienstausweis$
RZV-BEA-08;R3-Portier$
RZV-BEA-08;SAM$
RZV-BEA-08;Sodexo$
RZV-BEA-08;VecMap$
RZV-BEA-08;KFS$
RZV-BEA-08;Lehre_Geoinfo$
