"Title";"Description";"LUN";"Location path";"CMDB status"
"10.2.6.234";"";"";"-";"in operation"
"10.3.100.234";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
"BEVMSL6480SR3.bev.gv.at";"";"";"-";"in operation"
